rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
183,"spotify:track:55g4rnkPWozcmWW2a8MNMl","Emilio","Strawberry eyes","Jive",61,154,10,"67306"
184,"spotify:track:422qTU33m36TliSm27uONY","Nemzzz, Luciano","ETA (feat. Luciano)","Nemzzz",15,156,10,"67157"
185,"spotify:track:6xykgsmSSEjrb2tRpDdk3H","Die drei ???","226 - Die Spur der Toten - Teil 19","EUROPA/Sony Music Family Entertainment",185,-1,1,"67138"
186,"spotify:track:3cHyrEgdyYRjgJKSOiOtcS","Pitbull, Kesha","Timber","Mr.305/Polo Grounds Music/RCA Records",89,171,37,"67107"
187,"spotify:track:13haVESplLXnO0ktYj1Xuu","Paula Hartmann","7 Mädchen","Four Music/Himbeertoni",163,-1,3,"67043"
188,"spotify:track:3BKD1PwArikchz2Zrlp1qi","David Guetta, Anne-Marie, Coi Leray","Baby Don't Hurt Me","Parlophone UK",14,165,339,"66974"
189,"spotify:track:4evyMjgTKhrBfggfxFRAKr","YAKARY","KETAMIN","Life is Pain",32,178,215,"66850"
190,"spotify:track:6tcGtg5RHQImTM9rjYWRqF","Rap La Rue, ilo 7araga, Haaland936","Paff Paff","Epic/DOPE/Raplarue",33,191,31,"66631"
191,"spotify:track:5TcDi7siTwegIfZYR4VekF","DANO","TMAX","DANO",97,185,96,"66559"
192,"spotify:track:2K7xn816oNHJZ0aVqdQsha","The Neighbourhood","Softcore","Columbia",23,-1,249,"66446"
193,"spotify:track:0Fyqe4e5VjCaFjNSNYWa25","GIMS, SativaMusic, Morad","SEYA","Columbia/B1 Recordings",116,192,73,"66342"
194,"spotify:track:7b8Z1GU2plJy3aASZTiolF","Ski Aggu, Joost, Otto Waalkes","Friesenjung","jungeratze & Bamboo Artists",1,147,302,"66322"
195,"spotify:track:5NGTVBlZlpwTjFFLpIvrJK","Die drei ???","226 - Die Spur der Toten - Teil 20","EUROPA/Sony Music Family Entertainment",195,-1,1,"66056"
196,"spotify:track:5NAOhPAZ57eFAXr3qatS6i","Yeat","Breathe","Field Trip Recordings/Capitol Records",82,-1,33,"65814"
197,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",97,-1,275,"65726"
198,"spotify:track:4kLLWz7srcuLKA7Et40PQR","Black Eyed Peas","I Gotta Feeling","Interscope",18,163,395,"65614"
199,"spotify:track:2kNhZ57JHXkZPZH2rknRyu","twocolors, Safri Duo, Chris de Sarandy","Cynical","Virgin",24,151,249,"65590"
200,"spotify:track:7sJNeWTXkZCEC7OnFMpGWL","Luciano, Aitch, BIA","Bamba (feat. Aitch & BIA)","URBAN",1,180,536,"65483"
