artist_names,track_name,peak_streams,total_streams,peak_rank_max,max_days_on_chart,best_day_streams,first_appearance,uri,source,best_day_date,genres
Juice WRLD,Lucid Dreams,5544528,1277249554,2,1413,5544528,2022-01-01,spotify:track:285pBltuF7vW8TeWk8hdRR,Juice WRLD Mixtape / ISR P&D,2019-12-09,['Rap/Hip Hop']
Conan Gray,Heather,3771797,1258938435,177,1056,3771797,2023-01-01,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Republic Records,2023-12-03,['Pop']
Bad Bunny,Tití Me Preguntó,7640843,1253903760,6,436,7640843,2023-01-01,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Rimas Entertainment LLC,2022-05-06,['Latin Musik']
Roddy Ricch,The Box,7427860,1246296525,130,567,7427860,2020-01-01,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,Atlantic Records,2020-01-17,['Rap/Hip Hop']
"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),5702794,1241791999,11,478,5702794,2023-01-01,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Republic Records,2022-12-05,[]
Ed Sheeran,Shivers,5450839,1236107580,12,625,5450839,2023-01-01,spotify:track:3xWGA8pa0IKFI7IMPri4P0,Atlantic Records UK,2021-10-29,['Pop']
SZA,Snooze,3100334,1233818376,25,684,3100334,2023-01-03,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,Top Dawg Entertainment/RCA Records,2022-12-09,['R&B']
"Ed Sheeran, Justin Bieber",I Don't Care (with Justin Bieber),10977389,1226341030,1,627,10977389,2020-01-01,spotify:track:0hVXuCcriWRGvwMV1r5Yn9,Atlantic Records UK,2019-05-10,[]
"DaBaby, Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),5886504,1211151733,9,505,5886504,2020-04-17,spotify:track:7ytR5pFWmSjzHJIeQkgog4,South Coast Music Group/Interscope Records,2020-07-03,[]
"Justin Bieber, Daniel Caesar, GIVĒON",Peaches (feat. Daniel Caesar & Giveon),8020169,1208278824,1,533,8020169,2022-01-01,spotify:track:4iJyoBOLtHqaGxP12qzhQI,RBMG/Def Jam,2021-04-09,['Pop']
Hozier,Too Sweet,8742996,1194463659,10,285,8742996,2024-03-22,spotify:track:3HMY0r2BAdpasXMY8rseR0,Rubyworks / Universal-Island Records Ltd.,2024-04-16,['Folk']
David Kushner,Daylight,5066631,1190245171,6,499,5066631,2023-04-14,spotify:track:1odExI7RdWc4BT515LTAwj,"Miserable Music Group, LLC",2023-04-26,['Pop']
Hozier,Take Me To Church,1773250,1183827494,91,1152,1773250,2023-01-02,spotify:track:3dYD57lRAUcMHufyqn9GcI,Universal-Island Records Ltd.,2024-10-04,['Alternative']
Djo,End of Beginning,8481534,1183095382,127,319,8481534,2024-02-17,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,2024-03-27,"['Alternative', 'Rock']"
Lewis Capaldi,Before You Go,2375637,1180730658,52,862,2375637,2023-01-17,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,Vertigo Berlin,2020-02-14,['Alternative']
Cigarettes After Sex,Apocalypse,1976939,1180345085,197,874,1976939,2023-01-01,spotify:track:3AVrVz5rK8Hrqo9YGiVGN5,Partisan Records,2024-11-20,[]
"Bad Bunny, Bomba Estéreo",Ojitos Lindos,6793502,1180213497,9,488,6793502,2023-01-01,spotify:track:3k3NWokhRRkEPhCzPmV8TW,Rimas Entertainment LLC,2022-05-06,['Latin Musik']
d4vd,Romantic Homicide,2627379,1163150223,143,735,2627379,2023-01-01,spotify:track:1xK59OXxi2TAAAbmZK0kBL,Darkroom/Interscope Records,2022-10-21,['Alternative']
"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),1928158,1149423954,57,981,1928158,2023-01-01,spotify:track:22skzmqfdWrjJylampe0kt,Macklemore,2023-12-31,['Rap/Hip Hop']
J. Cole,No Role Modelz,1867073,1140912515,162,1024,1867073,2023-01-01,spotify:track:68Dni7IE4VyPkTOH9mRWHr,Roc Nation Records LLC,2023-11-30,['Rap/Hip Hop']
Eminem,Mockingbird,2672455,1140505887,200,700,2672455,2023-01-01,spotify:track:561jH07mF1jHuk7KlaeF0s,Aftermath,2023-01-13,['Rap/Hip Hop']
One Direction,Night Changes,5150464,1138083892,117,817,5150464,2023-01-01,spotify:track:5O2P9iiztwhomNh8xkR9lJ,Syco Music,2024-10-18,['Pop']
Sabrina Carpenter,Please Please Please,12835312,1126104018,9,208,12835312,2024-06-07,spotify:track:5N3hjp1WNayUPZrA8kJmJP,Island Records,2024-06-15,['Pop']
