rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,date,year-month,genres
19,spotify:track:23Z3bbYcl1PdcPJemLa4zc,Drake,Flight's Booked,OVO,19,-1,1,3520654,2022-06-17,2022-06,"['Alternative/Indie', 'R&B/Soul', 'Electronic', 'Pop']"
36,spotify:track:2vy9Ry1TNjCD85TiCbTz0r,Drake,Liability,OVO,36,-1,1,2456055,2022-06-17,2022-06,"['R&B/Soul', 'Electronic', 'Hip Hop']"
34,spotify:track:5KW4KhJIAbVVSH6pJ4GPkb,Drake,Tie That Binds,OVO,34,-1,1,2518413,2022-06-17,2022-06,"['R&B/Soul', 'Electronic', 'Pop']"
32,spotify:track:6wtZPYBIXUvCpXwVjMCJBf,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,Sony Music Entertainment Chile S.A,32,-1,1,2675424,2022-06-17,2022-06,"['Pop', 'Hip Hop']"
26,spotify:track:1MJHXJ8bdoynpEtCLCbkWf,Drake,Overdrive,OVO,26,-1,1,3060106,2022-06-17,2022-06,"['R&B/Soul', 'Electronic', 'African Music', 'Pop']"
33,spotify:track:0PKpNkxX3FkcfgxCQUXXds,Drake,Down Hill,OVO,33,-1,1,2674015,2022-06-17,2022-06,"['R&B/Soul', 'Electronic', 'Hip Hop']"
138,spotify:track:28n8z9IQKyjMPxmvYMBqZa,Luke Combs,The Kind of Love We Make,River House Artists/Columbia Nashville,138,-1,1,1083302,2022-06-17,2022-06,"['Pop', 'Country']"
5,spotify:track:2KukL7UlQ8TdvpaA7bY3ZJ,Beyoncé,BREAK MY SOUL,Parkwood Entertainment/Columbia,5,-1,1,5145450,2022-06-21,2022-06,"['Electronic', 'Pop']"
192,spotify:track:5PZAbR6JHYYV9xp5gv0XES,"Zé Felipe, MC Mari",Bandido,Som Livre,192,-1,1,835420,2022-06-23,2022-06,['Latin Music']
68,spotify:track:3lOMJTQTd6J34faYwASc33,NAYEON,POP!,Republic Records – NAYEON (TWICE),68,-1,1,1400159,2022-06-24,2022-06,"['Asian Music', 'Pop']"
86,spotify:track:0TyUOnU4H4GLqOcrH0auc8,Imagine Dragons,Sharks,KIDinaKORNER/Interscope Records,86,-1,1,1261464,2022-06-24,2022-06,"['Rock', 'Alternative/Indie', 'Pop']"
27,spotify:track:4axSuOg3BqsowKjRpj59RU,Taylor Swift,Carolina - From The Motion Picture “Where The Crawdads Sing”,Taylor Swift,27,-1,1,2081884,2022-06-24,2022-06,"['Folk', 'Pop']"
160,spotify:track:64pUytZWfCpeeMBN0XAadF,"Chris Brown, Jack Harlow",Psychic,Chris Brown Entertainment/RCA Records,160,-1,1,968989,2022-06-24,2022-06,['R&B/Soul']
